,Hotel_Name,City_Name,country_name,Rating,Price/Night,Amenities,Description,Review1,Review2
10,Kubu Manggala Villas Seminyak,bali,Indonesia,4,3403,"['Laundry Service', 'Internet', 'Spa', 'Free Internet']","Jl. Mertasari, Yasa Bali Utama No. 13, Pincode- 80117, Indonesia","I want to give 4.5 star for our stay there
Staff was very nice, rooms were clean.
However there were few things in bathroom facility which can be improved
But overall a very wonderful experience",Review not found
11,Senetan Villas and Spa Resort,bali,Indonesia,Rating not found,3450,"['Parking Facility', 'Restaurant/Coffee Shop', 'Laundry Service', 'Spa']","Br. Panginyahan, Ds. Puhu, Pincode- 80572, Kerta, Bali, Indonesia",Review not found,Review not found
12,Aishwarya Exclusive Villas,bali,Indonesia,Rating not found,2873,"['Laundry Service', 'Spa', 'Front desk', 'Free Internet']","Jl. Pantai Gumicik No 26 Ketewel, Pincode- 50852, Batubulan, Bali, Indonesia",Review not found,Review not found
13,Batur Mountain View,bali,Indonesia,Rating not found,1351,"['Restaurant/Coffee Shop', 'Laundry Service', 'Outdoor Activities', 'Room Service']","Jalan Culali, Pincode- 80361, Kintamani, Bali, Indonesia",Review not found,Review not found
14,Balam Bali Villa,bali,Indonesia,5,1762,"['Air Conditioning', 'Business Services', 'Restaurant/Coffee Shop', 'Laundry Service']","Jalan Teleng 100, Banjar Cengkok, Baha, Pincode- 80361, Abiansemal, Bali, Indonesia",Review not found,Review not found
15,Villa Sing Ken Ken,bali,Indonesia,Rating not found,4891,"['Free Internet', 'Front desk', 'Spa', 'Swimming Pool']","Jalan Tebola Sidemen Karangasem, Pincode- 80111, Bali, Indonesia",Review not found,Review not found
16,Sea Medewi Resort,bali,Indonesia,Rating not found,2258,"['Air Conditioning', 'Banquet hall', 'Restaurant/Coffee Shop', 'Laundry Service']","Jln. Pantai Bahari, Pincode- 82261, Mendoyo, Bali, Indonesia",Review not found,Review not found
17,Atta Kamaya Resort and Villas,bali,Indonesia,4,7204,"['Air Conditioning', 'Restaurant/Coffee Shop', 'Laundry Service', 'Outdoor Activities']","Jalan Tanjung 41, Pincode- 80224, Bali, Indonesia",Review not found,Review not found
18,Blue Marlin Bali,bali,Indonesia,Rating not found,30692,"['Laundry Service', 'Free Internet', 'Front desk', 'Room Service']","Jalan Raya Air Sanih Bukti No. 23, Pincode- 81172, Bali, Indonesia",Review not found,Review not found
19,Hotel Gran Surya,bali,Indonesia,Rating not found,1762,"['Parking Facility', 'Restaurant/Coffee Shop', 'Laundry Service', 'Spa']","Jl. Sudirman, Pincode- 81153, Bali, Indonesia",Review not found,Review not found
20,Swiss-Belresidences Kalibata Jakarta,jakarta,Indonesia,4.5,1590,"['Power backup', 'Banquet hall', 'Business Services', 'Restaurant/Coffee Shop']","Jalan Kalibata Raya No. 22, Jakarta 12740, Indonesia, Jakarta Raya",Excellent,It is very good hotel iam a frequent flier so I stayed so many hotels in Jakarta but I am happy with the servicesre and promptness I always when ever iam in Jakarta I will stay here only
21,The Grove Suites,jakarta,Indonesia,4,4869,"['Room Service', 'Business Services', 'Restaurant/Coffee Shop', 'Laundry Service']","Rasuna Epicentrum, Kawasan, Jalan Hr. Rasuna Said, Karet Kuningan, Setia Budi, Pincode- 12940, Jakart Jakarta",decent place close to a food mall and with easy acceess to cabs.,Review not found
22,Ayaka Suites,jakarta,Indonesia,4,2249,"['Free Internet', 'Air Conditioning', 'Swimming Pool', 'Conference Room']","Jl. Karet Pedurenan No. 45, Pincode- 12940, Jakart Jakarta",Looks new and fresh. Size is enough for a couple. Just in front of ITC mall. Very much access to small restaurants. Value for money. Only draw back is shower place is much tiny.,"NICE STAY , GOOD LOCATION ............................................................................"
23,Ashley Hotel Jakarta,jakarta,Indonesia,4.5,1430,"['Air Conditioning', 'Restaurant/Coffee Shop', 'Laundry Service', 'Smoking Rooms Available']","Jalan K.H. Wahid Hasyim No. 73-75 , Central Jakarta, 10520 Jakarta, Indonesia, Pincode- 10250, Jakarta Raya",Review not found,Review not found
24,Holiday Inn Express Jakarta Wahid Hasyim,jakarta,Indonesia,4,1975,"['Air Conditioning', 'Room Service', 'Business Services', 'Restaurant/Coffee Shop']","Jl. K.H. Wahid Hasyim No.123, Pincode- 10240, Jakarta, Jakarta Raya, Indonesia",Review not found,Review not found
25,Pullman Jakarta Indonesia,jakarta,Indonesia,4.5,5024,"['Free Internet', 'Air Conditioning', 'Swimming Pool', 'Parking Facility']","Jl. M. H. Thamrin No. 59, Pincode- 10350, Jakarta",great experience with Pullman Jakarta,Moneys worth.stayed in deluxe room which like a suite room.will stay in the same hotel if I visit Jakarta once again
26,Grand Mercure Jakarta Kemayoran,jakarta,Indonesia,5,3913,"['Air Conditioning', 'Parking Facility', 'Banquet hall', 'Business Services']","Jl H Benyamin Sueb Kav B-6, Pincode- 10610, Jakarta, Indonesia, Jakarta Raya",Review not found,Review not found
27,Gran Melia Jakarta Hotel,jakarta,Indonesia,4.5,5579,"['Air Conditioning', 'Banquet hall', 'Business Services', 'Restaurant/Coffee Shop']","Jalan H.R. Rasuna Said Kav X-0, Kuningan, Jakarta, Indonesia, Pincode- 123456, Jakarta Raya","GREAT HOTEL AND QUICK CHECKIN ON ARRIVAL, ROOMS AND BATHROOMS ON A BIGGER SIZE , EXCELLENT STAY",Review not found
28,JW Marriott Hotel Jakarta,jakarta,Indonesia,4.5,2535,"['Air Conditioning', 'Banquet hall', 'Business Services', 'Restaurant/Coffee Shop']","Jalan Dr Ide Anak Agung Gde Agung Kav, Pincode- 12950, Jakarta, Indonesia, Jakarta Raya","Good to stay, but room is not ready by the time reached over there. Have to wait to 30mnts more to get the room.
Not up to the standards.
Just ok.",Thank you
29,"Hotel Mulia Senayan, Jakarta",jakarta,Indonesia,4.5,13075,"['Air Conditioning', 'Banquet hall', 'Business Services', 'Restaurant/Coffee Shop']","Jl. Asia Afrika, Senayan, 10270, Jakarta, Indonesia, Jakarta Raya",Excellent service and very helpful staff,Review not found
30,The Metro hotel kl Sentral,kuala-lumpur,Malaysia,4.3,763,"['Air Conditioning', 'Parking Facility', 'Restaurant/Coffee Shop', 'Laundry Service']","No. 3, Jalan Thambypillai,Brickfields, 50470 Kuala Lumpur , Stkua||Stsela","Highly recommend. Budget friendly. Attentive Staff. Just 500m to KL Sentral Station. Main sightseeings are nearby. Well maintained rooms. Indian foods, local foods, etc are available on few foot steps. My family enjoyed well. Thanks to Metro Hotel.","Near Indian restaurants and central location, value for money! KL sentral connects all major transport lines including direct connectivity to airport making it really convenient."
31,Le Apple Boutique Hotel KLCC,kuala-lumpur,Malaysia,4,2173,"['Free Internet', 'Indoor Entertainment', 'Parking Facility', 'Conference Room']","No.160, Jalan Ampang, Klcc, Kuala Lumpur 50450, Stsela||Stkua",Le Apple is very good and budget hotel . Their services is also very good . Their complimentary breakfast is on ground floor but their are many varieties of delicious food of both veg and non veg dishes,Hotel is at a very good location. Petronas Twin tower is just 10mins walking distance. There is a 7-11 store at the ground floor of the hotel. which is very convenient. Staffs are helpful.
32,Sandpiper Hotel KL,kuala-lumpur,Malaysia,4.2,1087,"['Free Internet', 'Air Conditioning', 'Indoor Entertainment', 'Parking Facility']","No. 50, Jalan Pudu, Bukit Bintang, 55100 Kuala Lumpur , Stkua||Stsela","Rooms are extremely small. And bathroom is just a small gallery. Location is very good. metro station Nd bus stop is near. and all main locations are also near.
Indian food is also good.","good location
good"
33,Corus Hotel Kuala Lumpur,kuala-lumpur,Malaysia,4.2,2400,"['Free Internet', 'Swimming Pool', 'Conference Room', 'Outdoor Activities']","Jalan Ampang,Persiaran Hampshire , 50450 Kuala Lumpur , Stsela||Stkua","Stayed 13 Feb to 16 Feb 2020.
Hotel is old but they have tried their best to maintain it.
Location wise it's perfect, few minutes of walk from KLCC and twin tower.
We booked deluxe room and it was allocated at 7th floor with balcony. Construction was such that you easily can walk to other room's balcony, bit strange.
Room was spacious. But if want to have any sorts of entertainment in room, you will be disappointed. There is TV but total 19 channels to count, and only 15 was with any signal and ...more",Location was appropriate even the staff services were great with fantastic room with nice amenities in it.
34,Cosmo Hotel Kuala Lumpur,kuala-lumpur,Malaysia,4.4,1598,"['Free Internet', 'Air Conditioning', 'Indoor Entertainment', 'Conference Room']","13-15 Leboh Ampang, 50050 Kuala Lumpur, Stkua||Stsela, Malaysia","The hotel is located at the centre of the city. very near to Central market, Kasturi walk, China town etc. KL Tower, Twin Tower also below 3 KM. For vegetarians especially south indians, Saravana Bhavan is very near.
The receiptionist is very nice, the ambience of the hotel is awesome. The facilities are too good. Fridge, Iron box/table, coffee maker etc are there in room. Also the hotel rooms are so secure. No one can come to your floor without access card.","1. Prime location
2. GRAB car pick up point & drop off
3. Walkable distance from famous Indian restaurants like Saravana Bhavan
4. Awesome breakfast
5. Masjid Jamek metro station is just 2minutes away (walking distance)
6. Merdeka Square, China town, Petaling street are nearby"
35,Vistana Kuala Lumpur Titiwangsa,kuala-lumpur,Malaysia,4.5,2311,"['Free Internet', 'Swimming Pool', 'Conference Room', 'Banquet hall']","No. 9 Jalan Lumut, Off Jalan Ipoh, 50400 Kuala Lumpur , Stkua||Stsela","The stay was very comfortable & pleasant, location was easy to locate, as its in the main city area, staffs & services were very good and cleanliness was also up to the mark. Didn't faced any such issues, and completely satisfied with it & it was value for money.",Stay was good. Staff was helpful and cooperative. Service was good. Location was good as it was next to metro station. Food was also good. It was total value for money and also recommended.
36,Starpoints Hotel Kuala Lumpur,kuala-lumpur,Malaysia,4.2,1884,"['Free Internet', 'Air Conditioning', 'Indoor Entertainment', 'Parking Facility']","149, Jalan Masjid India, Kuala Lumpur, Wilayah Persekutuan 50100 , Stkua||Stsela",great experience for stayingand also suitable for family,"Hotel rooms are nice and room service is also good but i did not like the food of the hotel..but there r many other restaurants at walking distance and the location of the hotel is also good and walkable to metro train and local bus
Location"
37,Hote123,kuala-lumpur,Malaysia,3.5,859,"['Air Conditioning', 'Business Services', 'Restaurant/Coffee Shop', 'Laundry Service']","23, Jalan Sungai Besi, Pudu, 57100, Kuala Lumpur, Stsela||Stkua",Staff was OK. Location was good and didn't tried food there.,Nice hotel and staff and good wifi
38,SUDO GUESTHOUSE,kuala-lumpur,Malaysia,4.6,218,"['Power backup', 'Parking Facility', 'Business Services', 'Restaurant/Coffee Shop']","27 Jalan Pudu Lama, Bukit Bintang, 50200 Kuala Lumpur , Stkua||Stsela","It's location is very good, it is located near to the main road area so it's accessibility is very high. The room was very comfortable & they do even provide a parking arae as well. My experience of staying here is very good.",good location staff very good and clean hostel near all market
39,Arenaa Star Hotel,kuala-lumpur,Malaysia,4,896,"['Free Internet', 'Conference Room', 'Banquet hall', 'Travel Assistance']","49 - 51, Jalan Hang Leki City Centre, 50100 , Stkua||Stsela Kuala Lumpur","From the hotel walking distance to most visited places like Metro station, China town, K L tower. Good staff and Neat clean room.","superb experience to stay with family.. nice location, great service, delicious breakfast, and room was neat and clean ."
40,The Light Hotel Seberang Jaya,penang,Malaysia,4,3087,"['Air Conditioning', 'Parking Facility', 'Room Service', 'Business Services']","Lebuh Tenggiri 2, Bandar Seberang Jaya, 13700, Seberang Jaya , Pincode- 123456, Penan Penang",It's very near to the main road so the location wise it's very good. Their rooms were very clean & comfortable & the food was just great. It was an amazing stay of mine.,good..
41,Hard Rock Hotel Penang,penang,Malaysia,4,8407,"['Banquet hall', 'Business Services', 'Restaurant/Coffee Shop', 'Laundry Service']","Batu Ferringhi Beach, 11100 Penang , Pincode- 1100","very good and comfortable hotel with all the amenities and modern style furniture. beach facing hotel with amazing breakfast and friendly staff.
very friendly and good staff making it a perfect combination for a perfect family hotel",Rocking hotel and good staff.
42,PARKROYAL Penang Resort,penang,Malaysia,4,5253,"['Air Conditioning', 'Room Service', 'Business Services', 'Restaurant/Coffee Shop']","Batu Ferringhi Beach, 11100, Penang, Malaysia, Pulau Pinang",Beautiful beach Resort,Review not found
43,Royale Chulan Penang,penang,Malaysia,4,2627,"['Free Internet', 'Air Conditioning', 'Swimming Pool', 'Indoor Entertainment']","No 1, 2, Pengkalan Weld, George Town, 10300 ,Penang","Wonderful location, thoughtful staff a good Suite",Very economical from the couple or family will good hospitality and near to all favorite tourist points at a walkable distance in George Town of Penang Malaysia. This is the best location.
44,G Hotel Kelawai,penang,Malaysia,4.5,7355,"['Air Conditioning', 'Banquet hall', 'Business Services', 'Restaurant/Coffee Shop']","2, Persiaran Maktab, Gurney Drive, Penang, Malaysia 10250, Pulau Pinang",The stay was excellent. Te service is good. Staff was polite. Rooms were good. It was clean. Food was tasty.,"We stayed in this hotel for two weeks. The hotel is great and the staff is very good. The location is the also very good.
The rooms were clean and view from the room was great. For vegetarians not many options for food though.
Overall good experience."
45,Eastern & Oriental Hotel,penang,Malaysia,4.5,8731,"['Room Service', 'Business Services', 'Restaurant/Coffee Shop', 'CCTV surveillance']","10 Lebuh Farquhar, 10200 Penang, Malaysia, Pulau Pinang",Review not found,Review not found
46,Le Dream Boutique Hotel,penang,Malaysia,4.5,7208,"['Air Conditioning', 'Restaurant/Coffee Shop', 'Laundry Service', 'Health-Spa']","139, Jalan Pintal Tali, Pincode- 10100, Penang, Pulau Pinang, Malaysia","Everything is good in this hotel, its designed beautifully, each details, every corner you will find class. Its location is also great. Evening 5-7 they provide unlimited wine and soft drinks, night free movie with pop corn, 24 hrs free tea biscuits etc. Just go for it, the best hotel in Penang",Review not found
47,Flamingo Hotel By The Beach,penang,Malaysia,4,3542,"['Free Internet', 'Air Conditioning', 'Conference Room', 'Outdoor Activities']","Jalan Tanjung Bungah, 11200 Tanjung Bungah , Penan Penang","good location, comfortable spacious rooms,clean wash room, delicious wide range breakfast",3 star cause location was good... but rooms were not properly cleaned ...
48,Deluxcious Luxurious Heritage Hotel,penang,Malaysia,4,2134,"['Air Conditioning', 'Restaurant/Coffee Shop', 'Laundry Service', 'CCTV surveillance']","15, Jalan Sultan Ahmad Shah, Pincode- 10050, Penang, Pulau Pinang, Malaysia",I had a great stay... very nice comfortable hotel... beautiful rooms...,Review not found
49,AC Hotel by Marriott Penang,penang,Malaysia,4,2677,"['Free Internet', 'Swimming Pool', 'Airport Transfer (on Demand)', 'Conference Room']","213 Jalan Bukit Gambir, 11950 Bukit Jambul, Penang","I was upgraded to Suit Rooms
Nice people","It is just too good experience,a wonderfull hotel to stay,great experience"
50,Tanjung Rhu Resort,langkawi,Malaysia,4.5,6275,"['Power backup', 'Banquet hall', 'Business Services', 'Restaurant/Coffee Shop']","Mukim Ayer Hangat, Langkawi 07000, Kedah Darulaman, Malaysia, Anomaly","The location was really good. The staff was cooperative, but Some part of the hotel was under renovation. Rest of all nice.","stunning views,excellent po
ols,very spacious rooms and courteous staff make the Tanjung Rhu.We had a relaxed stay at this resort."
51,"CASA DEL MAR, LANGKAWI",langkawi,Malaysia,5,13070,"['Free Internet', 'Swimming Pool', 'Airport Transfer (on Demand)', 'Outdoor Activities']",Jalan Pantai Cenang Mukim Kedawang 07000 Langkawi Kedah Darul Aman,Had an amazing stay. The staff at Casa is extremely warm and helpful.😊,Excellent boutique hotel on Pantai Cenang beach overlooking the Andaman sea.
52,The Danna Langkawi,langkawi,Malaysia,5,9844,"['Room Service', 'Business Services', 'Restaurant/Coffee Shop', 'CCTV surveillance']","Telaga Harbour Park, Pantai Kok, Langkawi, 07000","It was wonderful experience, truly 5 star. Took care of all fhe details.
Free wine bottle as we were on Honeymoon","Staff behavior, amenities and services were good. Location was superb. There was dining facility but I didn't availed it. There was WiFi, swimming pool, shuttle service to airport as complimentary services."
53,Aseania Resort Langkawi,langkawi,Malaysia,4,2836,"['Free Internet', 'Air Conditioning', 'Swimming Pool', 'Indoor Entertainment']","Simpang Tiga, Jalan Pantai Tengah. Mukim Kedawang, 07100 Pantai Cenang , Langkaw Langkawi",Check In and Check Out was great. Close to the Airport. Superb Location. In Cenang Beach Area very busy touristic area. Great Pools and massive. Well maintained. Good Breakfast. The only issue is with the room soundproofing. You can literally hear water drop of your neighbor room also. That was only weird. Other than that my family enjoyed in the pool the whole day. If you have kids they will love it.,"Hotel food and location is good
Very old hotel , Ac is not working properly and infrastructure is also old but hotel staff was good"
54,Villa Molek,langkawi,Malaysia,4.5,14571,"['Power backup', 'Restaurant/Coffee Shop', 'Laundry Service', 'CCTV surveillance']","Lot 2863, Jalan Teluk Baru Pantai Tengah 07000 Langkawi, Malaysia, Kedah",Review not found,Review not found
55,Berjaya Langkawi Resort,langkawi,Malaysia,4.6,3766,"['Air Conditioning', 'Room Service', 'Business Services', 'Restaurant/Coffee Shop']","Karong Berkunci 200, Burau Ba , Langkawi 07000","It was an excellent stay close to nature , Pahn Thai restaurant was great in the middle of ocean",A good place for honeymoon Couples. They can improve in terms of technology. For every request we got to be near the landline. It requires minimum 3 days to comppetely enjoy the property. Food menu is just awesome. No cons. Its a 7 star property. If yu get good deals of 7k /night dont miss it. City is very close by. Enjoy the swimming pools and private beach.. Hitesh Balajee
56,Adya Hotel Langkawi,langkawi,Malaysia,4,2031,"['Free Internet', 'Air Conditioning', 'Swimming Pool', 'Indoor Entertainment']","No 1 Pt, 4001, Persiaran Mutiara 2 Mukim Kuah, Langkawi, 07000",It was a good stay. it was located in a good area. The services were really nice. Food was good. The behavior of the staff was also nice. Wifi and internet services were also available.,"Overall the stay was good. Location was nice, easy to reach and near to the sea. Food facility was good. Wifi services were available there. Cleanliness was well maintained. But at last, they charged some additional tourism fees."
57,Temple Tree At Bon Ton Resort,langkawi,Malaysia,4.5,6067,"['Free Internet', 'Air Conditioning', 'Swimming Pool', 'Indoor Entertainment']","Jalan Pantai Cenang, Langkawi 07000","Entire hotel was full of cats,even the room was full of worms, It was unsecured feeling at the property, We only stayed for 1 night and checked out next day.Overall it was a very bad experience.","Hey, stayed at Temple Tree for around 2 days. here is my experience. After 11:30 PM no service guy is available nothing no contact if we need anything in middle of the night. Breakfast is below average, washrooms can be little bit more cleaner (PS: No jets available in Western toilets :) ) Resort is pretty silent good for Yoga and chillax. market is near by around 10 mints walking but at night it's all dark so few might not be comfortable in taking a walk around. Grab is best option available, very very fast and reliable service by Grab."
58,Ambong Ambong Langkawi Rainforest Retreat,langkawi,Malaysia,5,7798,"['Air Conditioning', 'Restaurant/Coffee Shop', 'Laundry Service', 'Airport Transfer (on Demand)']","Jalan Teluk Baru, Pincode- 07000, Langkaw Langkawi",Review not found,Review not found
59,The Smith House,langkawi,Malaysia,4.5,2928,"['Free Internet', 'Air Conditioning', 'Swimming Pool', 'Indoor Entertainment']","Lot. 297, (Hsm. 772), Bandar Padang Matsirat, Bandar Padang Matsirat, 07100 Pantai Cenang , Langkaw Langkawi","The Smith House is a great boutique hotel situated very close to Langkawi airport. The rooms are comfortable with all the facilities to make your stay memorable. The staff is very generous and they do all the effort to give you a great hospitality. Breakfast is great with lots if varieties. Overall the hotel is excellent and will give it a 5 star...
The experiences I got as a solo traveller were great. You take your own decisions and learn so many new things about people, culture, local traditions. One should definitely take a solo trip.",Review not found
60,Best Western London Ilford Hotel,london,United Kingdom,3.5,3441,"['Parking Facility', 'Room Service', 'Business Services', 'Restaurant/Coffee Shop']","3-5 Argyle Road, Pincode- Ig1 3Bh, London, United Kingdom, England",Review not found,Review not found
61,"Holiday Inn London - Heathrow M4,Jct.4",london,United Kingdom,3.5,5320,"['Air Conditioning', 'Parking Facility', 'Banquet hall', 'Business Services']","Sipson Road,Heathrow Airport, West Drayton, Pincode- Ub7 0Hp, London, United Kingdom, England",Review not found,Review not found
62,The Stanwell Heathrow,london,United Kingdom,5,6078,"['Air Conditioning', 'Banquet hall', 'Restaurant/Coffee Shop', 'Health-Spa']","171 Town Lane, Stanwell, Pincode- Tw19 7Pw, Surrey, England, United Kingdom",Review not found,Review not found
63,Holiday Inn London-Bexley,london,United Kingdom,Rating not found,6208,"['Air Conditioning', 'Parking Facility', 'Banquet hall', 'Business Services']","Southwold Road, Pincode- Da5 1Nd, London, England, United Kingdom",Review not found,Review not found
64,Kathleen House Plus,london,United Kingdom,5,6496,['Free Internet'],"78 Baker St, Enfield, Pincode- En1 3Ey, London, United Kingdom",Review not found,Review not found
65,Arora Hotel Gatwick/Crawley,london,United Kingdom,4.5,4862,"['Free Internet', 'Restaurant/Coffee Shop', 'Parking Facility', 'Business Services']","Southgate Ave, Southgate, Pincode- Rh10 6Lw, West Sussex, England, United Kingdom",Review not found,Review not found
66,The Bakery Restaurant with Rooms,london,United Kingdom,Rating not found,10671,"['Free Internet', 'Outdoor Activities', 'Room Service', 'Restaurant/Coffee Shop']","Westmore Green, Pincode- Tn16 2Ag, London, England, United Kingdom",Review not found,Review not found
67,Airport Garden Rooms,london,United Kingdom,Rating not found,3295,[],"9 The Gardens, Pincode- Tw14 9Pp, London, England, United Kingdom",Review not found,Review not found
68,Avis Hotel Bromley,london,United Kingdom,Rating not found,8105,"['Restaurant/Coffee Shop', 'Laundry Service', 'Conference Room', 'Outdoor Activities']","33 Rodway Road, Pincode- Br1 3Jp, Bromley, England, United Kingdom",Review not found,Review not found
69,Novotel London Stansted Airport,london,United Kingdom,4.5,4817,"['Free Internet', 'Air Conditioning', 'Indoor Entertainment', 'Parking Facility']","Round Coppice Road, Pincode- Cm24 1Sf, Londo London",it was very near the airport with regular shuttles,Review not found
70,"Resort@Paro, Drugyel",paro,Bhutan,3.9,947,"['Free Internet', 'Indoor Entertainment', 'Outdoor Activities', 'Travel Assistance']","Tshento , Near Drugyel Dzong, Paro, Pincode- 12001","great experience. wonder stay.
friendly staff. thumbsup","location is somewhat far from paro city..But hotel site is good as it is free from city sounds and busy city life...Mountain view and and one Dzong is there very near to resort...
Cons-Housekeeping staff at that time was not there..3-4persons of kitchen wings did cleaning of my alloted bed which was very dirty and full of hair...Yound girl in pic is very active and tried to do all to please us...Overall exoerience is good..
nice..Private space is there...and very far from city horns"
71,AMA's Village Lodge,paro,Bhutan,4,1469,"['Parking Facility', 'Restaurant/Coffee Shop', 'Laundry Service', 'Dining']","Lango Village, Jagathan , 12001 , Pincode- 122001 Paro","The place is really nice and well maintained.
we all really enjoyed our stay here.
it just feel like home here.","Awesome place with awesome food.....loved Ema Datshi ( bhutanese food). Neat and clean, well behaved hotel staffs.
A great farm house experience. Must stay 🤙"
72,Hotel Phunsum,paro,Bhutan,3.6,1378,"['Business Services', 'Restaurant/Coffee Shop', 'Conference Room', 'Outdoor Activities']","Geptey, Carpenters Road, Paro, Pincode- 12001, Bhutan","Except staff service everything was Poor!! worst Room,Dirty floor and wall,Dirty Toilet,No Charging point,Remote was not working later they change but old big TV,entrance in front of cement debris,overall bad experiance,Food was bad,better you guys eat indian food exactly oposite of Hotel ""Sharma Restaurant, they have good indian taste and masala Tea as well,if you missed taste in Bhutan.
I made one day early checkout as I couldnt bear the smell of bed even..Guys book these hotel at your own Risk.
Road leading to hotel is not good as well,But its near to Market...","Nice stay at the hotel. One can see the mountains from the hotel. The rooms have wooden flooring and room heater is included, so it's nice and cozy. The restaurant downstairs is costly though, so would suggest to eat outside."
73,"Le Méridien Paro, Riverfront",paro,Bhutan,4.5,9908,"['Swimming Pool', 'Air Conditioning', 'Room Service', 'Business Services']","P.O. Box 1265, Shaba, Paro , Pincode- 12001","Location is good,, 5 km before the market place,, by the side of beautiful Paro river. Great breakfast menu. Delicious Indian food served. Everything is good,, but overall the room rate is very high.","The location and ambiance was quite good, There were no smoking room over there, rather then that everything was good."
74,Tiger's Nest Resort,paro,Bhutan,4,3365,"['Parking Facility', 'Conference Room', 'Laundry Service', 'Spa']","Tiger Nest Resort,Satsam Chorten, Paro, Post Box No.1275.",Amazing stay and amazing service by the hotel staff.,Hotel is located close to Tiger's nest. View from room is awesome. This hotel is located little far from Paro town so you don't get any noise but at the same time you would need taxi to go to town. All the staff are super responsive and very helpful. They always greet you with smile. I found rooms were not up to the mark. Everything was in working condition in room but they need to do a comprehensive maintenance of all plumbing and other amenities to make it worthy of price.
